Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Los Angeles Dodgers,104,58,0.642,4.8,3.6,1.2,-0.2,0.9,102-60,2,24-Oct,23-Sep,41-35,16-Apr,57-24,47-34,04-Aug,25-19,71-43,33-15,36-33,68-25
2,Cleveland Indians,102,60,0.63,5,3.5,1.6,-0.1,1.5,108-54,-6,22-Dec,50-26,24-Aug,14-Jun,49-32,53-28,02-Apr,20-15,66-36,36-24,27-22,75-38
3,Houston Astros,101,61,0.624,5.5,4.3,1.2,0,1.2,99-63,2,21-13,15-17,50-26,15-May,48-33,53-28,04-Apr,19-13,80-37,21-24,18-15,83-46
4,Washington Nationals,97,65,0.599,5.1,4.1,0.9,-0.3,0.6,96-66,1,47-29,19-15,21-Nov,10-Oct,47-34,50-31,04-Jul,30-21,75-50,22-15,23-19,74-46
5,Boston Red Sox,93,69,0.574,4.8,4.1,0.7,0.1,0.8,93-69,0,41-35,20-14,16-16,16-Apr,48-33,45-36,15-Mar,22-19,75-50,18-19,27-23,66-46
6,Arizona Diamondbacks,93,69,0.574,5,4.1,0.9,-0.2,0.8,96-66,-3,19-14,17-16,45-31,08-Dec,52-29,41-40,03-Sep,29-23,68-52,25-17,39-35,54-34
7,Chicago Cubs,92,70,0.568,5.1,4.3,0.8,-0.2,0.6,93-69,-1,21-13,46-30,13-19,08-Dec,48-33,44-37,03-Jul,26-17,71-56,21-14,35-35,57-35
8,New York Yankees,91,71,0.562,5.3,4.1,1.2,0.1,1.3,100-62,-9,44-32,18-15,14-19,15-May,51-30,40-41,06-May,18-26,67-48,24-23,26-22,65-49
9,Colorado Rockies,87,75,0.537,5.1,4.7,0.4,-0.1,0.3,87-75,0,17-16,18-15,42-34,10-Oct,46-35,41-40,03-Feb,21-14,59-55,28-20,37-35,50-40
10,Milwaukee Brewers,86,76,0.531,4.5,4.3,0.2,-0.1,0.1,85-77,1,18-14,40-36,17-17,09-Nov,46-38,40-38,11-May,25-22,69-59,17-17,37-38,49-38
11,Minnesota Twins,85,77,0.525,5,4.9,0.2,0.1,0.2,83-79,2,15-18,41-35,16-17,13-Jul,41-40,44-37,03-Mar,15-18,59-54,26-23,20-31,65-46
