Team,Stadium,LF,LLC,LC,C,RC,RRC,RF
ARZ,Chase Field,330,374,413,407,413,374,334
ATL,Truist Park,333,,385,400,375,,325
BAL,Camden Yards,333,364,410,400,373,,318
BOS,Fenway Park,310,,379,390,420,380,302
CHC,Wrigley Field,355,,368,400,368,,353
CHW,Guaranteed Rate Field,330,,375,400,375,,335
CIN,Great American Ball Park,328,,379,404,370,,325
CLE,Progressive Field,325,,370,400,410,375,325
COL,Coors Field,347,,390,415,375,,350
DET,Comerica Park,345,,370,420,365,,330
HOU,Minute Maid Park,315,362,404,409,408,373,326
KS,Kauffman Stadium,330,,387,410,387,,330
LAA,Angel Stadium,347,,390,396,370,365,350
LAD,Dodger Stadium,330,360,375,400,375,360,330
MIA,Marlins Park,344,,386,400,387,,335
MIL,Miller Park,344,,371,400,374,,345
MIN,Target Field,333,364,410,400,373,,318
NYM,Citi Filed,335,358,385,408,398,375,330
NYY,Yankee Stadium,318,,399,408,385,,314
OAK,Oakland Coliseum,330,,388,400,388,,330
PHI,Citizens Bank Park,329,374,409,401,369,,330
PIT,PNC Park,325,383,410,399,375,,320
SD,Petco Park,334,357,390,396,391,382,322
SF,Oracle Park,339,364,399,391,415,365,309
SEA,T-Mobile Park ,331,,378,401,381,,326
STL,Busch Stadium,336,,375,400,375,,335
TB,Tropicana Field,315,,370,404,370,,322
TEX,Globe Life Field,329,,372,407,374,,326
TOR,Rogers Centre,328,,375,400,375,,328
WAS,Nationals Park,337,,377,402,370,,335
