Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Houston Astros,107,55,0.66,5.7,4,1.7,-0.3,1.4,107-55,0,19-13,21-13,56-20,09-Nov,60-21,47-34,04-Oct,24-19,69-44,Nov-38,35-28,72-27
2,Los Angeles Dodgers,106,56,0.654,5.5,3.8,1.7,0,1.7,107-55,-1,23-Oct,22-Nov,51-25,10-Oct,59-22,47-34,04-Jun,27-22,76-34,30-22,45-32,61-24
3,New York Yankees,103,59,0.636,5.8,4.6,1.3,-0.3,1,99-63,4,54-22,18-15,19-14,08-Dec,57-24,46-35,04-Jul,18-19,70-41,33-18,43-32,60-27
4,Minnesota Twins,101,61,0.624,5.8,4.7,1.1,-0.5,0.7,97-65,4,20-Dec,50-26,23-Nov,12-Aug,46-35,55-26,07-May,23-Dec,79-44,22-17,32-37,69-24
5,Atlanta Braves,97,65,0.599,5.3,4.6,0.7,0.1,0.8,91-71,6,46-30,20-13,18-15,13-Jul,50-31,47-34,06-Nov,28-16,74-51,23-14,52-43,45-22
6,Oakland Athletics,97,65,0.599,5.2,4.2,1,-0.2,0.8,97-65,0,17-16,25-Aug,44-32,09-Nov,52-29,45-36,09-Jun,27-22,62-51,35-14,35-27,62-38
7,Tampa Bay Rays,96,66,0.593,4.7,4,0.7,-0.2,0.5,93-69,3,44-32,20-13,18-15,14-Jun,48-33,48-33,08-Nov,23-16,64-41,32-25,38-35,58-31
8,Washington Nationals,93,69,0.574,5.4,4.5,0.9,0,1,95-67,-2,44-32,17-15,18-16,14-Jun,50-31,43-38,06-Apr,17-21,69-52,24-17,48-48,45-21
9,Cleveland Indians,93,69,0.574,4.7,4.1,0.7,-0.4,0.2,93-69,0,18-16,48-28,19-13,12-Aug,49-32,44-37,07-Jun,15-16,60-47,33-22,25-39,68-30
10,St. Louis Cardinals,91,71,0.562,4.7,4.1,0.6,0.2,0.8,92-70,-1,18-15,46-30,18-15,11-Sep,50-31,41-40,04-Aug,25-22,73-55,18-16,42-42,49-29
11,Milwaukee Brewers,89,73,0.549,4.7,4.7,0,0.3,0.3,81-81,8,21-Nov,45-31,15-19,12-Aug,49-32,40-41,08-Jul,27-18,64-49,25-24,48-40,41-33
12,New York Mets,86,76,0.531,4.9,4.5,0.3,0.2,0.5,86-76,0,40-36,14-19,17-16,15-May,48-33,38-43,09-Jul,24-23,68-53,18-23,47-55,39-21
13,Arizona Diamondbacks,85,77,0.525,5,4.6,0.4,0.2,0.6,88-74,-3,17-17,16-16,38-38,14-Jun,44-37,41-40,09-Sep,24-26,60-58,25-19,35-40,50-37
14,Boston Red Sox,84,78,0.518,5.6,5.1,0.5,-0.2,0.2,87-75,-3,35-41,21-Nov,18-16,10-Oct,38-43,46-35,08-Sep,23-22,60-48,24-30,28-45,56-33
15,Chicago Cubs,84,78,0.518,5,4.4,0.6,0.2,0.8,90-72,-6,17-17,37-39,18-14,08-Dec,51-30,33-48,09-Apr,19-27,70-60,14-18,39-45,45-33
16,Philadelphia Phillies,81,81,0.5,4.8,4.9,-0.1,0.2,0.1,79-83,2,36-40,20-13,14-19,09-Nov,45-36,36-45,06-Jul,20-20,63-56,18-25,48-52,33-29
17,Texas Rangers,78,84,0.481,5,5.4,-0.4,0,-0.5,75-87,3,18-14,18-16,33-43,11-Sep,45-36,33-48,06-Jul,25-21,52-52,26-32,31-53,47-31
18,San Francisco Giants,77,85,0.475,4.2,4.8,-0.6,0.3,-0.3,71-91,6,14-19,14-19,38-38,09-Nov,35-46,42-39,13-Mar,38-16,57-56,20-29,42-55,35-30
19,Cincinnati Reds,75,87,0.463,4.3,4.4,-0.1,0.2,0.2,80-82,-5,17-17,33-43,16-16,11-Sep,41-40,34-47,08-Jul,24-33,58-64,17-23,46-60,29-27
20,Chicago White Sox,72,89,0.447,4.4,5.2,-0.8,-0.3,-1,69-92,3,15-18,38-37,13-20,14-Jun,39-41,33-48,04-Apr,14-18,44-62,28-27,35-53,37-36
21,Los Angeles Angels,72,90,0.444,4.7,5.4,-0.6,0,-0.6,72-90,0,17-18,13-18,30-46,08-Dec,38-43,34-47,07-Mar,18-22,49-60,23-30,29-55,43-35
22,Colorado Rockies,71,91,0.438,5.2,5.9,-0.8,0.3,-0.4,71-91,0,16-17,15-18,32-44,12-Aug,43-38,28-53,06-Oct,22-21,46-55,25-36,38-60,33-31
23,San Diego Padres,70,92,0.432,4.2,4.9,-0.7,0.3,-0.4,70-92,0,14-18,14-20,31-45,09-Nov,36-45,34-47,07-May,26-24,56-70,14-22,40-53,30-39
24,Pittsburgh Pirates,69,93,0.426,4.7,5.6,-0.9,0.3,-0.7,68-94,1,21-Nov,29-47,17-17,08-Dec,35-46,34-47,11-Jul,19-25,53-66,16-27,30-72,39-21
25,Seattle Mariners,68,94,0.42,4.7,5.5,-0.8,0,-0.9,69-93,-1,14-19,18-15,27-49,11-Sep,35-46,33-48,04-Sep,23-26,52-58,16-36,22-59,46-35
26,Toronto Blue Jays,67,95,0.414,4.5,5.1,-0.6,-0.1,-0.7,71-91,-4,33-43,17-18,14-17,17-Mar,35-46,32-49,08-Jul,18-23,43-65,24-30,35-58,32-37
27,Kansas City Royals,59,103,0.364,4.3,5.4,-1.1,-0.2,-1.3,64-98,-5,23-Oct,31-45,24-Sep,11-Sep,31-50,28-53,09-Apr,15-25,43-76,16-27,28-60,31-43
28,Miami Marlins,57,105,0.352,3.8,5,-1.2,0.3,-0.9,61-101,-4,24-52,24-Oct,14-18,11-Sep,30-51,27-54,09-Jul,16-28,39-81,18-24,38-83,19-22
29,Baltimore Orioles,54,108,0.333,4.5,6.1,-1.6,0,-1.5,60-102,-6,24-52,20-Dec,23-Nov,13-Jul,25-56,29-52,08-Feb,22-Nov,33-67,21-41,26-67,28-41
30,Detroit Tigers,47,114,0.292,3.6,5.7,-2.1,-0.2,-2.2,49-112,-2,14-19,22-53,27-Jun,15-May,22-59,25-55,10-Jun,14-22,34-90,13-24,19-65,28-49
,Average,80,80,0.5,4.8,4.8,,,,81-80,,23-23,24-23,23-24,10-Oct,42-38,38-42,06-Jun,21-21,58-56,22-24,36-49,44-31
